r_id,hour,gen
2,2444,41.999999999999986
3,2444,607.1
4,2444,30.0
5,2444,49.4
6,2444,570.0
7,2444,336.0
8,2444,0.0
9,2444,0.0
10,2444,49.9
11,2444,0.0
12,2444,0.0
13,2444,96.6
20,2444,0.0
21,2444,0.0
22,2444,0.0
23,2444,98.2
24,2444,98.2
25,2444,98.2
26,2444,98.20000000000027
27,2444,98.2
28,2444,98.2
29,2444,0.0
30,2444,72.19970799999999
31,2444,84.01536
32,2444,3.184932
33,2444,0.0
34,2444,0.0
35,2444,0.0
36,2444,0.0
37,2444,0.0
38,2444,0.0
39,2444,0.0
40,2444,0.0
41,2444,0.0
42,2444,0.0
1,2445,21.4
2,2445,42.0
3,2445,607.1
4,2445,30.0
5,2445,49.4
6,2445,570.0
7,2445,336.0
8,2445,0.0
9,2445,0.0
10,2445,49.9
11,2445,0.0
12,2445,0.0
13,2445,96.6
20,2445,0.0
21,2445,0.0
22,2445,0.0
23,2445,98.2
24,2445,98.2
25,2445,98.2
26,2445,98.2
27,2445,98.2
28,2445,98.2
29,2445,0.0
30,2445,40.04450800000086
31,2445,87.17056
32,2445,3.184932
33,2445,0.0
34,2445,0.0
35,2445,0.0
36,2445,0.0
37,2445,0.0
38,2445,0.0
39,2445,0.0
40,2445,0.0
41,2445,0.0
42,2445,0.0
1,2446,21.4
2,2446,42.000000000000014
3,2446,607.1
4,2446,30.0
5,2446,49.4
6,2446,570.0
7,2446,336.0
8,2446,0.0
9,2446,0.0
10,2446,49.9
11,2446,0.0
12,2446,0.0
13,2446,96.6
20,2446,0.0
21,2446,0.0
22,2446,0.0
23,2446,98.2
24,2446,98.2
25,2446,98.2
26,2446,0.0
27,2446,0.0
28,2446,95.00290799999993
29,2446,0.0
30,2446,0.0
31,2446,98.81215999999999
32,2446,3.184932
33,2446,0.0
34,2446,0.0
35,2446,0.0
36,2446,0.0
37,2446,0.0
38,2446,0.0
39,2446,0.0
40,2446,0.0
41,2446,0.0
42,2446,0.0
1,2447,21.4
2,2447,41.999999999999986
3,2447,607.1
4,2447,30.0
5,2447,49.4
6,2447,570.0
7,2447,336.0
8,2447,0.0
9,2447,0.0
10,2447,49.9
11,2447,0.0
12,2447,0.0
13,2447,96.6
20,2447,0.0
21,2447,0.0
22,2447,0.0
23,2447,32.3078
24,2447,68.81254799999988
25,2447,0.0
26,2447,0.0
27,2447,0.0
28,2447,0.0
29,2447,0.0
30,2447,0.0
31,2447,103.29472
32,2447,3.184932
33,2447,0.0
34,2447,0.0
35,2447,0.0
36,2447,0.0
37,2447,0.0
38,2447,0.0
39,2447,0.0
40,2447,0.0
41,2447,0.0
42,2447,0.0
1,2448,21.4
2,2448,41.999999999999986
3,2448,607.1
4,2448,30.0
5,2448,49.4
6,2448,570.0
7,2448,314.46706800000004
8,2448,0.0
9,2448,0.0
10,2448,0.0
11,2448,0.0
12,2448,0.0
13,2448,0.0
20,2448,0.0
21,2448,0.0
22,2448,0.0
23,2448,0.0
24,2448,0.0
25,2448,0.0
26,2448,0.0
27,2448,0.0
28,2448,0.0
29,2448,0.0
30,2448,0.0
31,2448,104.448
32,2448,3.184932
33,2448,0.0
34,2448,0.0
35,2448,0.0
36,2448,0.0
37,2448,0.0
38,2448,0.0
39,2448,0.0
40,2448,0.0
41,2448,0.0
42,2448,0.0
